segment	best	score
By way of derogation from the first paragraph, they may be transported in vehicles and containers which have been previously used for the transport of animal by-products derived from ruminants or porcine animals, provided that those vehicles and containers have been cleaned beforehand in order to avoid cross-contamination in accordance with a documented procedure which has been given prior authorisation by the competent authority.	By way of derogation from point 4, vehicles, containers and storage facilities which have been previously used for the transport or storage of bulk processed animal protein derived from porcine animals and bulk compound feed containing such processed animal protein may be subsequently used for the transport or storage of feed intended for non-ruminant farmed animals other than aquaculture animals and poultry provided that they are cleaned beforehand in order to avoid cross-contamination, in accordance with a documented procedure which has been given prior authorisation by the competent authority.	69
N, N-Dimethylaminoethanol (CAS 108-01-0) and corresponding protonated salts;	O, O-Diethyl S- [2- (diethylamino) ethyl] phosphorothiolate (CAS 78-53-5) and corresponding alkylated or protonated salts;	67
Costs for infrastructure and works	EE1st for energy infrastructure investments	62
The total estimated duration of the implementation of the projects is 48 months.	The detailed provisions for the implementation of this Article are set out in Annex I.	61
This member stands for Onerous Contracts-Cost of Fulfilling a Contract (Amendments to IAS 37) issued in May 2020.	This member stands for Annual Improvements to IFRS Standards 2018-20 issued in May 2020.	62
The rate for unit cost 18 may be adjusted by replacing the salaries for participants, including social security and health contributions in the calculation method that consists of the cost for provision of training plus salaries for participants, including social security and health contributions, plus indirect costs.	Unit cost 1 may be adjusted by replacing the initial minimum wage and/or the statutory bonus and/or weekly allowances and/or social security contributions in the calculation method that consists of the lowest weekly rate of national minimum wage for a particular year, the statutory bonus, weekly allowances and social security contributions, and dividing this result by 2.	63
Storage of timber at collection centres	Location of stockpiles or collection centres.	69
Function: Colonel, Head of the Department of Legal Support of the Ministry of Defence of the Republic of Belarus	Function: Colonel, First Deputy Head of the Main Financial and Economic Department of the Ministry of Defence of Belarus	68
State resources and imputability to the State	Therefore, it was clearly imputable to the State.	66
The profit (loss) recognised on exchanging construction services for an intangible asset in service concession arrangements.	Revenue recognised on exchanging construction services for intangible asset	69
Law enforcement monitoring software	Area monitoring system	60
RCO 46 - Length of roads reconstructed or modernised - non-TEN-T	RCO 110 - Length of roads with new or modernised traffic management systems - non-TEN-T	68
BIXAFEN	PINOXADEN	62
Template for the audit opinion to accompany the application for a financial contribution from the Reserve	the name of the recipient and amount of the financial contribution from the Reserve,	69
Pilot project — Raising awareness of children to be aware of their rights in judicial procedures	Pilot project — Raising awareness of alternatives to private car	65
A new fourth paragraph is added to Point 2 as follows:	in Article 8, paragraph 3 is amended as follows:	67
Subject: transport of UN 3509 in sheeted bulk containers	Subject: Transport for the needs of the rail carrier.	62
Duration of the processing of personal data	Duration of the period of entrustment	70
Product-specific rule of origin	Applicable rules of origin	63
Digital workplace	Regional work plan name	65
Bulgaria: EUR 636,13,	Spain: EUR 354,73,	62
The Commission considered the complainants ’ method to be sufficiently precise for the purpose of the complaint.	The Commission considered the calculation method based on the EAFA data as sufficiently reliable to justify the initiation of an investigation.	64
Additional meetings of the JIC may be called at the request of either of the Parties.	Additional meetings may be organised at any time by the chair or at the request of one third of its members.	66
Gains (losses) on changes in effect of limiting net defined benefit asset to asset ceiling excluding interest income or expense, before tax, defined benefit plans	Return on plan assets excluding interest income or expense, net of tax, defined benefit plans	64
